Participant_ID,Participant_Code,first_time_ts,first_time_datetime,last_time_ts,last_time_datetime,study_duration_seconds,study_duration_days
687,MBDUTOCLESTMQMYJ,1554325973000,"2019-04-03 21:12:53",1554326191824,"2019-04-03 21:16:31",218,0
688,MBDUTOCLUWNCPCJM,1554326300000,"2019-04-03 21:18:20",1554369154812,"2019-04-04 09:12:34",42854,0
