Participant_ID,Data_Type,Start_Date,Study_Day_1,Study_Day_2
687,dates,2019-04-03,2019-04-03
687,screen_on_event_count,2019-04-03,1
687,screen_unlock_event_count,2019-04-03,1
687,complete_session_duration_minutes,2019-04-03,0.8375
687,active_session_duration_minutes,2019-04-03,0.8375
687,passive_session_duration_minutes,2019-04-03,0.0000
688,dates,2019-04-03,2019-04-03,2019-04-04
688,screen_on_event_count,2019-04-03,3,14
688,screen_unlock_event_count,2019-04-03,3,5
688,complete_session_duration_minutes,2019-04-03,2.3438,7.4034
688,active_session_duration_minutes,2019-04-03,2.2729,4.7759
688,passive_session_duration_minutes,2019-04-03,0.0709,2.6275
